"ean","descricao"
"7896003702583","BISC MARILAN AMANT 330G TRAD"
"7896003738926","BISC MARILAN AMATEIGADO NATA 280G"
"7896003739572","BISC MARILAN COQUINHO 300G"
"7896003739190","BISC MARILAN CR CRACKER 300G AGUA/SAL"
"7896003738452","BISC MARILAN CR CRACKER 300G PREMIUM"
"7896003738629","BISC MARILAN CR CRACKER 350G ESPECIAL"
"7896003738612","BISC MARILAN CR CRACKER 350G MANTEIGA"
"7896003738667","BISC MARILAN CR CRACKER 365G INTEG"
"7896003703177","BISC MARILAN CR CRACKER 400G INTEG"
"7896003738704","BISC MARILAN DISTRACAO 320G BAUNILHA CHOC"
"7896003706857","BISC MARILAN LEV 150G CACAU/CER INTEG"
"7896003706840","BISC MARILAN LEV 150G GRANOLA MEL INTEG"
"7896003706895","BISC MARILAN LEV 80G COOKIES INTEG CACAU/CER"
"7896003706864","BISC MARILAN LEV 80G COOKIES INTEG GRANOLA/MEL"
"7896003738520","BISC MARILAN MAIZENA 350G"
"7896003738537","BISC MARILAN MAIZENA 350G INTEGRAL"
"7896003703382","BISC MARILAN MAIZENA 400G INTEG"
"7896003738575","BISC MARILAN MARIA 350G"
"7896003705164","BISC MARILAN MINI MAIZENA 350G"
"7896003739312","BISC MARILAN PAT CANINA RECH 80G CHOC"
"7896003739329","BISC MARILAN PAT CANINA RECH 80G MORANGO"
"7896003739787","BISC MARILAN PATRULHA CANINA 40G CHOC"
"7896003703207","BISC MARILAN PIT STOP 1056G MISTO QUENTE"
"7896003703740","BISC MARILAN PIT STOP 1056G PEITO PERU INTEG"
"7896003739466","BISC MARILAN PIT STOP 137G INTEG"
"7896003739404","BISC MARILAN PIT STOP 137G ORIG"
"7896003739435","BISC MARILAN PIT STOP 137G PIZZA"
"7896003739442","BISC MARILAN PIT STOP 137G PRESUNTO"
"7896003727630","BISC MARILAN PIT STOP 137G WHOLE GRAIN"
"7896003706543","BISC MARILAN PIT STOP 162G INTEG"
"7896003706536","BISC MARILAN PIT STOP 162G ORIG"
"7896003706598","BISC MARILAN PIT STOP 162G PAO CHAPA"
"7896003702880","BISC MARILAN PIT STOP 162G PIZZA"
"7896003702866","BISC MARILAN PIT STOP 162G PRESUNTO"
"7896003739664","BISC MARILAN PIT STOP 91G PEITO PERU"
"7896003739671","BISC MARILAN PIT STOP 91G RECH MISTO QUENTE"
"7896003706680","BISC MARILAN PIT STOP RECH 124G CHOC"
"7896003703108","BISC MARILAN PIT STOP RECH 162G SALSA/CEBOLA"
"7896003739657","BISC MARILAN PIT STOP RECH 98G CHOCOLATE"
"7896003738490","BISC MARILAN ROSQUINHAS 300G CHOC TRAD"
"7896003738483","BISC MARILAN ROSQUINHAS 300G COCO TRAD"
"7896003738971","BISC MARILAN ROSQUINHAS 300G INTEGRAIS"
"7896003738421","BISC MARILAN ROSQUINHAS 300G LEITE"
"7896003703641","BISC MARILAN ROSQUINHAS 400G CHOCOLATE"
"7896003703658","BISC MARILAN ROSQUINHAS 400G COCO"
"7896003703634","BISC MARILAN ROSQUINHAS 400G LEITE"
"7896003737455","BISC MARILAN TEENS SNACK 30G BAUNY"
"7896003738872","BISC MARILAN TORTINHAS 140G BOMBOM"
"7896003738797","BISC MARILAN TORTINHAS 140G CHOCOLATE"
"7896003738834","BISC MARILAN TORTINHAS 140G LIMAO"
"7896003738896","BISC MARILAN TORTINHAS 140G MARACUJA"
"7896003738810","BISC MARILAN TORTINHAS 140G MORANGO"
"7896003737561","BISC MARILAN WAFER 80G BRIGADEIRO"
"7896003737516","BISC MARILAN WAFER 80G CHOC"
"7896003737721","BISC MARILAN WAFER 80G DUO"
"7896003737523","BISC MARILAN WAFER 80G LIMAO"
"7896003737530","BISC MARILAN WAFER 80G MORANGO"
"7898211220408","BISC MASSAS SANTANA 250G COCO"
"7898975572126","BISC MASSAS SANTANA 250G DOCE TENTACAO"
"7898975572157","BISC MASSAS SANTANA 250G MANTEIGUINHA"
"736532463647","BISC MASSAS SANTANA 300G INTEGRAL"
"7898211220354","BISC MASSAS SANTANA ALICIA 300G LEITE"
"7898211220057","BISC MASSAS SANTANA AMANT 200G QJ COALHO"
"7898975572027","BISC MASSAS SANTANA AMANT 200G QJ COALHO"
"7898211220033","BISC MASSAS SANTANA AMANT 220G ALHO"
"7898211220132","BISC MASSAS SANTANA AMANT 220G CEB/OREG"
"7898211220347","BISC MASSAS SANTANA AMANT 220G PIMENTA"
"7898211220378","BISC MASSAS SANTANA AMANT 270G CEB/BACON"
"7898975572041","BISC MASSAS SANTANA AMANT 270G CEB/BACON"
"789828823","BISC MASSAS SANTANA MARAGOGI 250G DOCE"
"736532463623","BISC MASSAS SANTANA SERRANA 250G AMANT"
"7898211220026","BISC MASSAS SANTANA SETE CAPAS 300G"
"7898211220200","BISC MASSAS SANTANA SOFIA 250G MANT TERRA"
"7898975572010","BISC MASSAS SANTANA SOFIA 250G MANT TERRA"
"7898211220392","BISC MASSAS SANTANA TARECO 300G TRAD"
"7898975572058","BISC MASSAS SANTANA TARECO 300G TRAD"
"7898211220118","BISC MASSAS SANTANA VIP CRACKER 300G"
"7819350963278","BISC MILA 180G CHAMPANHE"
"7819350963254","BISC MILA 200G FOGOSO"
"7896021419500","BISC MIMO FABISE 400G COCO SECO S/LACT"
"7896292080010","BISC MINI LOWCUCAR RECH WAFER22G MRG 0 ACUCARES"
"7622210933454","BISC MINI OREO 35G CHOC/BAUNILHA"
"7896292080003","BISC MINI WAFER 0 ACUCAR LOWCUCAR 22G CHOC"
"7891000089255","BISC MOCA RECH 140G LEITE COND"
"7891000320204","BISC MUCILON 35G ABOBRINHA MILHO"
"7891000369203","BISC MUCILON 35G LANCHINHO LARANJA BANANA"
"7891000320242","BISC MUCILON 35G LANCHINHO MILHO"
"7891000369159","BISC MUCILON 35G LANCHINHO MOR BANANA"
"7891000320280","BISC MUCILON 35G TOMATE MILHO"
"7896256065527","BISC NATURAL LIFE 180G COOKIES BAUNILHA"
"7896256065817","BISC NATURAL LIFE 80G ARROZ INTEG GR"
"7896256065602","BISC NATURAL LIFE 80G ARROZ INTEG PQ"
"7896256065954","BISC NATURAL LIFE PANDA KIDS 100G BAUN/CACAU"
"7896256065411","BISC NATURAL LIFE PANDA KIDS 100G DOCE LEITE"
"7896256065404","BISC NATURAL LIFE PANDA KIDS 100G MORANGO"
"7896256065688","BISC NATURAL LIFE TERMOGENICO 140G CANELA"
"7891000275603","BISC NATURNES SNACK 42G ARROZ BANANA"
"7897042700356","BISC NAZINHA POLVILHO 100G BACON"
"7897042700370","BISC NAZINHA POLVILHO 100G CEBOLA/SALSA"
"7897042700219","BISC NAZINHA POLVILHO 100G QUEIJO"
"7897042700325","BISC NAZINHA POLVILHO 100G TRAD"
"7897042701834","BISC NAZINHA POLVILHO 70G CEB/SALSA"
"7897042701438","BISC NAZINHA POLVILHO 70G QUEIJO"
"7897042701414","BISC NAZINHA POLVILHO 70G TRAD"
"7891000247624","BISC NEGRESCO COOKIE 60G"
"7891000357972","BISC NEGRESCO FININHO RECH 57G BAUNILHA"
"7891000394557","BISC NEGRESCO FININHO RECH 57G PASTA AMEDOIN"
"7891000948903","BISC NEGRESCO GRANULADO MOIDO 1KG"
"7891000345658","BISC NEGRESCO RECH 100G BAUNILHA"
"7891000345849","BISC NEGRESCO RECH 100G ECLIPSE"
"7891000367810","BISC NEGRESCO RECH 100G LIMAO"
"7891000352038","BISC NEGRESCO RECH 103G BAUNILHA"
"7891000290026","BISC NEGRESCO RECH 120G COB CHOC"
"7891000324370","BISC NEGRESCO RECH 120G COB TRIPLE"
"7891000086216","BISC NEGRESCO RECH 140G ECLIPSE"
"7891000284483","BISC NEGRESCO RECH 140G SORVETE MORANGO"
"7891000376768","BISC NEGRESCO RECH 90G CHOC BAUNILHA"
"7891000377130","BISC NEGRESCO RECH 90G CHOCOLATE"
"7891000377055","BISC NEGRESCO RECH 90G LIMAO SICILIANO"
"7891000376805","BISC NEGRESCO RECH 90G MORANGO"
"7891000345801","BISC NEGRESCO RECH MORANGO 100G"
"7891000077962","BISC NEGRESCO WAFER 110G"
"7891000339558","BISC NESCAU COOKIE 60G DUO"
"7891000089279","BISC NESCAU RECH 140G"
"7891000364253","BISC NESCAU WAFER 110G CHOC"
"7891000104231","BISC NESFIT 126G MIX GERGELIM INTEG"
"7891000068441","BISC NESFIT 126G MULTICEREAIS INTEG"
"7891000068458","BISC NESFIT 126G ORIGINAL INTEG"
"7891000304839","BISC NESFIT 160G BAN/AV/CANELA"
"7891000304556","BISC NESFIT 160G CACAU&CEREAIS"
"7891000304754","BISC NESFIT 160G LARANJA CENOURA"
"7891000304716","BISC NESFIT 160G LIMAO&CEREAIS INTEG"
"7891000304594","BISC NESFIT 160G MORANGO&CEREAIS"
"7891000060407","BISC NESFIT 170G INTEGRAL"
"7891000068298","BISC NESFIT 21G INTEGRAL"
"7891000068311","BISC NESFIT 21G MULTI CEREAIS"
"7891000255773","BISC NESFIT 60G COOKIE CACAU INTEG"
"7891000338476","BISC NESFIT 60G COOKIE FRUTAS VERM"
"7891000255742","BISC NESFIT 60G COOKIE INTEG BANANA"
"7891000338513","BISC NESFIT COOKIES 60G CACAU/MEL"
"7891000289709","BISC NESFIT DELICE 140G CACAU&AVELA"
"7891000277928","BISC NESTLE 126G RECH BONO LIMAO"
"7891000023808","BISC NESTLE 126G RECH NEGRESCO"
"7891000081211","BISC NESTLE 20G MINI WAFER MORANGO"
"7891000367773","BISC NESTLE CALIPSO 130G CHOC BCO"
"7891000089194","BISC NESTLE CLASSIC RECH 140G CHOC"
"7891000381625","BISC NESTLE COOKIE 120G AVELA"
"7891000381588","BISC NESTLE COOKIE 120G CHOC"
"7891000381663","BISC NESTLE COOKIE 120G DUPLO CHOC"
"7891000247648","BISC NESTLE COOKIE 60G CLASSIC CHOC"
"7891000339596","BISC NESTLE COOKIE CLASSIC 60G BAUNILHA"
"7891000361337","BISC NESTLE COOKIE CREAM 78G AO LEITE"
"7891000361375","BISC NESTLE COOKIE CREAM 78G AVELA"
"7891000402894","BISC NESTLE COOKIES 60G CARIBE"
"7891000402856","BISC NESTLE COOKIES 60G CROCANTE"
"7891000077948","BISC NESTLE WAFER 110G CLASSIC"
"7898024397915","BISC NUTELLA B-READY WAFER RECH 22G"
"7622300989446","BISC OREO 144G MILKSHAKE MORANGO"
"7622300873455","BISC OREO 36G CHOCOLATE"
"7622300989408","BISC OREO 90G RECH MILKSHAKE MORANGO"
"7622300873509","BISC OREO RECH 144G CHOCOLATE"
"7622300830090","BISC OREO RECH 144G ORIGINAL"
"7622300830083","BISC OREO RECH 36G ORIG BATMAN"
"7622300873554","BISC OREO RECH 90G CHOC"
"7622300830151","BISC OREO RECH 90G ORIGINAL"
"7898917041130","BISC OSHO POLVILHO 35G TRAD"
"7898975572102","BISC PALITO 300G ALICIA CANELA"
"7898402260015","BISC PAO DE OURO ACEBOLADA 250G"
"7898402260084","BISC PAO DE OURO DOCE 300G"
"7896011104386","BISC PARATI MINI 100G GOIABA"
"7896004009940","BISC PARATI WAFER 73G CHOCOLATE"
"7896004010069","BISC PARATI WAFER 73G LIMAO"
"7896004009957","BISC PARATI WAFER 73G MORANGO"
"7896004009964","BISC PARATI WAFER MINUETO 73G BRIGADEIRO"
"7896004009971","BISC PARATI WAFER MINUETO 73G CHOC BAUNILHA"
"7891000283950","BISC PASSATEMPO 150G FLOCOS"
"7891000051436","BISC PASSATEMPO 150G LEITE"
"7891000365267","BISC PASSATEMPO 150G LEITE MALTADO"
"7891000365335","BISC PASSATEMPO 170G MAISENA"
"7891000109298","BISC PASSATEMPO 60G COOKIE ORIG"
"7891000912805","BISC PASSATEMPO RECH 120G COB CHOC"
"7891000241356","BISC PASSATEMPO RECH 130G CHOC"
"7891000259351","BISC PASSATEMPO RECH 130G CHOC/MIX MORANGO"
"7891000259405","BISC PASSATEMPO RECH 130G CHOCO MIX"
"7891000251652","BISC PASSATEMPO RECH 130G DOCE LEITE"
"7891000241370","BISC PASSATEMPO RECH 130G LEITE"
"7891000241295","BISC PASSATEMPO RECH 130G MORANGO"
"7891000284032","BISC PASSATEMPO RECH 150G CHOCOMIX"
"7891000389096","BISC PASSATEMPO RECH 57G AVELA"
"7891000318614","BISC PASSATEMPO RECH 96G BATOM"
"7891000318652","BISC PASSATEMPO RECH 96G GALAK"
"7891000337363","BISC PASSATEMPO WAFER 110G CHOC"
"7898952871532","BISC PAULISTA  AMANTEIGADO 240G C/ BRIGADEIRO"
"11623","BISC PAULISTA  AMANTEIGADO 240G C/ BRIGADEIRO"
"7898952871549","BISC PAULISTA AMANT 240G C/ LEITE COND"
"7896264670669","BISC PELAGGIO CR CRACKER 350G TRAD"
"7896264670683","BISC PELAGGIO MAIZENA 350G"
"7896264670676","BISC PELAGGIO MARIA 350G"
"7891000042151","BISC PET MINI ASSADOS DOG CHOW 500G FRANGO"
"7896532700760","BISC PETYAN 400G 3X1 COCO"
"7896532700753","BISC PETYAN 400G 3X1 LEITE"
"7896532701095","BISC PETYAN CR CRACKER 350G AMANT"
"7896532701279","BISC PETYAN CR CRACKER 350G INTEGRAL ZR LACT"
"7896532701781","BISC PETYAN CR CRACKER 350GR TOSTADINHA"
"7896532701064","BISC PETYAN CR CRACKER 350GR TRAD"
"7896532700746","BISC PETYAN CR CRACKER 400G AGUA/GERGELIM"
"7896532700722","BISC PETYAN CR CRACKER 400G AGUA/SAL"
"7896532700715","BISC PETYAN CR CRACKER 400G AMANT"
"7896532700739","BISC PETYAN CR CRACKER 400G INTEG"
"7896532700708","BISC PETYAN CR CRACKER 400G TRAD"
"7896532701088","BISC PETYAN MAIZENA 350G 3X1"
"7896532700784","BISC PETYAN MAIZENA 400G"
"7896532700791","BISC PETYAN MAIZENA 400G CHOC"
"7896532701071","BISC PETYAN MARIA 350G 3X1"
"7896532700777","BISC PETYAN MARIA 400G"
"7896532700555","BISC PETYAN MARIA 400G CHOC"
"7896532701606","BISC PETYAN MINI MAIZENA 300G TRAD"
"7896532700869","BISC PETYAN MINI MAIZENA 400G TRAD"
"4024","BISC PETYAN MINI MARIA"
"7896532701590","BISC PETYAN MINI MARIA 300G CHOC"
"7896532701583","BISC PETYAN MINI MARIA 300G TRAD"
"7896532700562","BISC PETYAN MINI MARIA 400G CHOC"
"7896532700357","BISC PETYAN MINI MARIA 400G TRAD"
"7896532701811","BISC PETYAN MINI MARIA 800G TRAD"
"7896532700050","BISC PETYAN POPULAR 1KG COCO"
"7896532700067","BISC PETYAN POPULAR 1KG DOCE"
"7896532700302","BISC PETYAN POPULAR 350G COCO"
"7896532700319","BISC PETYAN POPULAR 350G DOCE"
"7896532700258","BISC PETYAN POPULAR 400G COCO"
"7896532700265","BISC PETYAN POPULAR 400G DOCE"
"7896532701705","BISC PETYAN ROSQ 300G AMENDOIM"
"7896532701804","BISC PETYAN ROSQ 300G BANANA E CANELA"
"7896532700456","BISC PETYAN ROSQ 300G CHOC"
"7896532700432","BISC PETYAN ROSQ 300G COCO"
"7896532700449","BISC PETYAN ROSQ 300G LEITE"
"7896532701712","BISC PETYAN ROSQ 300G MILHO VERDE"
"7896532701163","BISC PETYAN ROSQ 700G COCO"
"7896024761439","BISC PIRAQUE 132G LEITE MALTADO"
"7896024760319","BISC PIRAQUE 160G LEITE MALTADO"
"7896024760333","BISC PIRAQUE 160G LEITE MALTADO CHOCOLATE"
"7896024760401","BISC PIRAQUE 160G PRETTY"
"7896024760289","BISC PIRAQUE 80G LEITE MALTADO COB CHOC"
"7896024761811","BISC PIRAQUE 80G LEITE MALTADO COB CHOC BLACK"
"7896024761392","BISC PIRAQUE 80G SUPREME CH BRANCO"
"7896024761422","BISC PIRAQUE 80G SUPREME CR AVELA"
"7896024761415","BISC PIRAQUE 80G SUPREME FRUTAS VERM"
"7896024761347","BISC PIRAQUE 85G LEITE MALTADO"
"7896024761828","BISC PIRAQUE COOKIES 80G LEITE MALT BLACK"
"7896024726742","BISC PIRAQUE NEWAFER 100G BRIGADEIRO"
"7896024726582","BISC PIRAQUE NEWAFER 100G CHOCOLATE"
"7896024726667","BISC PIRAQUE NEWAFER 100G MORANGO"
"7896024760432","BISC PIRAQUE RECH 160G BRIGADEIRO"
"7896024760357","BISC PIRAQUE RECH 160G CHOCOLATE"
"7896024760371","BISC PIRAQUE RECH 160G LIMAO"
"7896024760418","BISC PIRAQUE RECH 160G MARACUJA"
"7896024760364","BISC PIRAQUE RECH 160G MORANGO"
"7896024761408","BISC PIRAQUE RECH SUPREME 80G CHOC BCO LIMAO"
"7896024778031","BISC PIRAQUE ROLADINHO 25G GOIABA"
"7896024760456","BISC PIRAQUE SALGADO 138G INTEGRAL"
"7896024760449","BISC PIRAQUE SALGADO 138G ORIGINAL"
"7896024760821","BISC PIRAQUE SALGADO 60G PAO ALHO"
"7896024760838","BISC PIRAQUE SALGADO 90G CALABRESA"
"7896024760661","BISC PIRAQUE WAFER 100G BRIGADEIRO"
"7896024760647","BISC PIRAQUE WAFER 100G CHOC"
"7896024726827","BISC PIRAQUE WAFER 100G LIMAO"
"7896024725509","BISC PIRAQUE WAFER 160G BRIGADEIRO"
"7896024725264","BISC PIRAQUE WAFER 160G CHOCOLATE"
"7896024725189","BISC PIRAQUE WAFER 160G LIMAO"
"7896024725004","BISC PIRAQUE WAFER 160G MORANGO"
"4924","BISC POLVILHO DOCE AMANT KG (LANC)"
"4921","BISC POLVILHO DOCE KG (LANC)"
"4900","BISC POLVILHO KG (LANC)"
"7898305850610","BISC POLVILHO NAZINHA  80G QUEIJO PEPULHA"
"7898305850092","BISC POLVILHO PEPULHA 80G CEBOLA"
"7898305851006","BISC POLVILHO PEPULHA 80G TRAD"
"7896653709024","BISC POVILHO OOBA 25G CENO/BETERRABA"
"7891000339237","BISC PRESTIGIO COOKIE 60G"
"7891000089231","BISC PRESTIGIO RECH 140G"
"7891000077924","BISC PRESTIGIO WAFER 110G"
"7896253401366","BISC RANCHEIRO RECH 90G BAUNILHA"
"7896253401397","BISC RANCHEIRO RECH 90G CHOC"
"7896253401731","BISC RANCHEIRO RECH 90G MORANGO"
"7896253401861","BISC RANCHEIRO ROSQUINHA 300G BAUNILHA BANANA"
"7896253401472","BISC RANCHEIRO ROSQUINHA 300G CHOC"
"7896253401465","BISC RANCHEIRO ROSQUINHA 300G COCO"
"7896080891798","BISC RECH DIVERSAO 115G MORANGO NAPOLI"
"7896080894546","BISC RECH DIVERSAO LIANE 115G DOCE/LEITE"
"7896080896540","BISC RECH DIVERSAO LIANE 115G MORANGO"
"7896080898544","BISC RECH DIVERSAO LIANE S/LACT 115G LIMAO"
"7896080890791","BISC RECH DIVERSAO S/LACT LIANE 115G BRIGADEIRO"
"7896071001571","BISC RECH DOCE VIDA 120G CHOCOLATE"
"7896071001564","BISC RECH DOCE VIDA 120G MORANGO"
"7896021401673","BISC RECH KIDMAIS 115G CHOC S/LACT"
"7891000419939","BISC RECH NESTLE 130G CHARGE"
"7898230897506","BISC RECH PREDILLETO 120G CHOCOLATE"
"7898185761266","BISC RECH SKIN 110G LIMAO"
"7898185761235","BISC RECH SKIN 110G SKINEGRO"
"7896079846327","BISC RECH WAFER TUBIN 48G LEITE"
"7898225610455","BISC RENOPAN 250G ACEBOLADA"
"7898225610462","BISC RENOPAN 250G ALHO"
"7898225610448","BISC RENOPAN 250G AMANTEGADA"
"7898225610431","BISC RENOPAN 250G PAPEL"
"7891152801217","BISC RICHESTER CHOCOWAFER 1008G CHOC"
"789838402","BISC RICHESTER CHOCOWAFER 1008G CHOC"
"7891152801224","BISC RICHESTER CHOCOWAFER 1008G CHOC BCO"
"7891152801279","BISC RICHESTER COOCKIES 80G ESCURETO"
"7891152305968","BISC RICHESTER COOKIES 40G BAUNILHA"
"7891152305913","BISC RICHESTER COOKIES 40G CHOC"
"7891152800197","BISC RICHESTER COOKIES 40G ESCURETO"
"7891152306064","BISC RICHESTER COOKIES 60G BAUNILHA GT/CHOC"
"7891152306019","BISC RICHESTER COOKIES 60G CHOC"
"7891152801255","BISC RICHESTER COOKIES 80G BAUNILHA"
"7891152801262","BISC RICHESTER COOKIES 80G CHOC"
"7891152301052","BISC RICHESTER CR CRACKER 400G SUPERIORE"
"7891152800524","BISC RICHESTER DELICIA 118G COCO"
"7891152800531","BISC RICHESTER DELICIA 118G LEITE"
"7891152800548","BISC RICHESTER DELICIA 118G QUEIJADINHA"
"7891152300116","BISC RICHESTER KROKITOS 80G CHOC"
"7891152301175","BISC RICHESTER MAIZENA 400G SUPERIORE"
"7891152800746","BISC RICHESTER MAX 80G CHOC MEIO AMARGO"
"35","BISC RICHESTER RECH 140G CHOC"
"8787","BISC RICHESTER RECH 140G CHOC"
"7891152300543","BISC RICHESTER RECH 140G CHOC BCO"
"7891152300567","BISC RICHESTER RECH 140G ESCURETO"
"7891152300598","BISC RICHESTER RECH 140G FLOCOS"
"7891152300550","BISC RICHESTER RECH 140G FLORESTA NEGRA"
"202","BISC RICHESTER RECH 140G MORANGO"
"7891152300581","BISC RICHESTER RECH 140G MRG/CHOC"
"7891152801095","BISC RICHESTER RECH 40G CHOC"
"7891152801156","BISC RICHESTER RECH 40G ESCURETO"
"7891152801101","BISC RICHESTER RECH 40G MORANGO"
"7891152800975","BISC RICHESTER RECH 80G CHOC"
"7891152801033","BISC RICHESTER RECH 80G ESCURETO"
"7891152305661","BISC RICHESTER RECH 80G ESCURETO DP RECH"
"7891152800982","BISC RICHESTER RECH 80G MORANGO"
"7891152800791","BISC RICHESTER RECH 86G BROWNIE"
"7891152800777","BISC RICHESTER RECH 86G CHOC C/AVELÃ"
"7891152801811","BISC RICHESTER RECH AMORI 125G CHOC BRANCO"
"7891152801804","BISC RICHESTER RECH AMORI 125G CHOC MOR"
"7891152801781","BISC RICHESTER RECH AMORI 125G CHOCOLATE"
"7891152801842","BISC RICHESTER RECH AMORI 125G ESCURETO"
"7891152801835","BISC RICHESTER RECH AMORI 125G FLOCOS"
"7891152801828","BISC RICHESTER RECH AMORI 125G FLORESTA NEGRA"
"7891152801972","BISC RICHESTER RECH AMORI 125G LIMAO CHOC BCO"
"7891152801798","BISC RICHESTER RECH AMORI 125G MORANGO"
"7891152801965","BISC RICHESTER RECH AMORI 125G TRIPLO CHOC"
"7891152801897","BISC RICHESTER RECH AMORI 356G CHOC"
"7891152801910","BISC RICHESTER RECH AMORI 356G ESCURETO"
"7891152801903","BISC RICHESTER RECH AMORI 356G MOR"
"7891152801866","BISC RICHESTER RECH AMORI 712G CHOC"
"7891152801880","BISC RICHESTER RECH AMORI 712G ESCURETO"
"7891152801873","BISC RICHESTER RECH AMORI 712G MORANGO"
"7891152800944","BISC RICHESTER TORTINHAS 140G BRIG"
"7891152800937","BISC RICHESTER TORTINHAS 140G CHOC"
"7891152800968","BISC RICHESTER TORTINHAS 140G LIMAO"
"7891152800951","BISC RICHESTER TORTINHAS 140G MORANGO"
"7891152800456","BISC RICHESTER WAFER 100G CHOC"
"7891152800470","BISC RICHESTER WAFER 100G CHOC BCO"
"7891152800500","BISC RICHESTER WAFER 100G ESCURETO"
"7891152800463","BISC RICHESTER WAFER 100G MORANGO"
"4649","BISC RICHESTER WAFER 100G MOUSSE LIMAO"
"789836366","BISC RICHESTER WAFER 100G MOUSSE LIMAO"
"7891152801323","BISC RICHESTER WAFER 80G CHOC"
"7891152801347","BISC RICHESTER WAFER 80G CHOC BCO"
"7891152801378","BISC RICHESTER WAFER 80G ESCURETO"
"7891152801330","BISC RICHESTER WAFER 80G MORANGO"
"7891152801354","BISC RICHESTER WAFER 80G MOUSSE LIMAO"
"7891152800753","BISC RICHESTER WAFER 87G MAX BROWNIE"
"7891152801286","BISC RICHESTER WAFER 87G MAX CHOC/LEITE"
"7897352008418","BISC ROMANA 300G AVEIA"
"7897352008340","BISC ROMANA 300G COCO"
"7897352008258","BISC ROMANA 300G INTEGRAL"
"7897352009163","BISC ROMANA 300G LINHACA"
"7897352001112","BISC ROMANA 300G MULTIGRAO"
"7897352007404","BISC ROMANA 300G ROMA"
"7897352007206","BISC ROMANA ACEBOLADA 300G"
"7897352001464","BISC ROMANA COOKIES INTEG 150G"
"7897352008869","BISC ROMANA GOIABINHA 150G"
"7897352007459","BISC ROMANA MARIA 300G"
"7897352005660","BISC ROMANA PETA 100G POLVILHO"
"7897352007367","BISC ROMANA ROMITA 300G"
"7896080866130","BISC ROSQUINHAS LIANE 400G DOCE/COCO"
"7896532700340","BISC ROSQUINHAS PETYAN 400G CHOCOLATE"
"7896532700500","BISC ROSQUINHAS PETYAN 400G MILHO VERDE"
"7896080865133","BISC ROSQUINHAS S/LACT LIANE 400G CHOC"
"7896080867137","BISC ROSQUINHAS S/LACT LIANE 400G LEITE"
"5954","BISC SALGADO PIRAQUE 60G PAO ALHO"
"7896005223529","BISC SALT PLUS 120G INTEGRAL"
"7896005223437","BISC SALT PLUS 120G ORIGINAL"
"7896105177050","BISC SALT PLUS 360G ORIG"
"7896064204927","BISC SANTA EDWIGES 100G CHOCOLATE"
"7896064206730","BISC SANTA EDWIGES AMANT LT 300G ROSE"
"7896064204873","BISC SANTA EDWIGES ANIMAL 100G CHOCOLATE"
"7896064204880","BISC SANTA EDWIGES ANIMAL 100G LEITE"
"7896064204576","BISC SANTA EDWIGES GALINHA PINT 100G LEITE"
"7896064205559","BISC SANTA EDWIGES HELLO KITTY 100G LEITE"
"7896064204651","BISC SANTA EDWIGES MINI COOKIES 150G AMANT"
"7896064205207","BISC SANTA EDWIGES PEPPA PIG 100G MINI"
"7896064205511","BISC SANTA EDWIGES SEQUILHOS 100G COCO"
"7898963524182","BISC SEQUILHOS PALITO BAUNILHA BM ALIMENTOS 350G"
"7898185760795","BISC SKIN 300G AGUA E SAL"
"7898185760832","BISC SKIN 300G COQUINHO"
"7898185760672","BISC SKIN 300G DOCE BAUNILHA"
"7898185761174","BISC SKIN 300G LEITE"
"7898185761204","BISC SKIN 300G MINI MAIZENA"
"7898185761181","BISC SKIN 300G PINGO D'AGUA"
"7898185960515","BISC SKIN AGUA E SAL 800G"
"7898185761099","BISC SKIN COCO 800G AMANTEIGADO"
"7898185761082","BISC SKIN COQUINHO 800G TRAD"
"7898185761518","BISC SKIN FAMILIA 800G BAUNILHA"
"7898185760429","BISC SKIN FAMILIA 800G COCO"
"7898185761525","BISC SKIN FAMILIA 800G LEITE"
"7898185760771","BISC SKIN MINI MAIZENA 800G TRAD"
"7898185761211","BISC SKIN MINI MARIA 300G TRAD"
"7898185760764","BISC SKIN MINI MARIA 800G TRAD"
"7898185761273","BISC SKIN RECH 110G FLOCOS"
"7898185761068","BISC SKIN RECH BEM-CASADO 110G"
"7898185761037","BISC SKIN RECH BRIGADEIRO 110GR"
"7898185760979","BISC SKIN RECH CHOCOLATE 110GR"
"7898185761006","BISC SKIN RECH MORANGO 110G"
"7898185760931","BISC SKIN RECH SKINEGRO 110G"
"7896653708980","BISC SNACKS PARO 40G TOMATE/MANJER"
"7896005213476","BISC SOL 60G BACON"
"7896005213490","BISC SOL 60G CEBOLA SALSA"
"7896005213537","BISC SOL 60G ORIGINAL"
"7896005213551","BISC SOL 60G PIZZA MARQUERITA"
"7896005217740","BISC SOL HITS 150G INTEGRAL"
"7896005217771","BISC SOL HITS 150G ORIGINAL"
"7896005217788","BISC SOL HITS 150G QUEIJO"
"7896005217504","BISC SOL HITS 80G CEBOLA/SALSA"
"7896005217498","BISC SOL HITS 80G CHURRASCO"
"7896005217474","BISC SOL HITS 80G ORIGINAL"
"7896005217467","BISC SOL HITS 80G PRESUNTO"
"7896005217450","BISC SOL HITS 80G QUEIJO"
"7896004007724","BISC SUCRILHOS MINI 110G CHOCOLATE"
"7896004007694","BISC SUCRILHOS RECH 110G CHOCOLATE"
"7896004007687","BISC SUCRILHOS RECH 110G LEITE"
